Curso,Media,NumEncuestas,Centro,Titulacion.x,Cod_Centro,Cod_Titulacion,Titulacion.y,Tasa_Rendimiento,Alumnos_Egresados,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
2019_2020,4.03,1307,E.T.S. Ingeniería Informática,"Grado en Ingeniería Informática-Tecnologías
Informáticas",3,206,Grado en Ingeniería Informática-Tecnologías Informáticas,0.6098714069591528,19350,31728,0.5304878048780488,87,164
2019_2020,4.24,1474,Facultad de Bellas Artes,Grado en Bellas Artes,21,190,Grado en Bellas Artes,0.8724482193413798,35130,40266,0.17613636363636365,31,176
2019_2020,4.16,504,Facultad de Bellas Artes,"Grado en Conservación y Restauración de
Bienes Culturales",21,193,Grado en Conservación y Restauración de Bienes Culturales,0.8506224066390041,11070,13014,0.15254237288135594,9,59
2019_2020,4.39,3550,Facultad de Biología,Grado en Biología,5,153,Grado en Biología,0.8025889967637541,43152,53766,0.17452830188679244,37,212
2019_2020,4.19,2485,"Facultad de CC. Económ. y
Empresariales","Grado en Administración y Dirección de
Empresas",1,151,Grado en Administración y Dirección de Empresas,0.6848913704461275,74334,108534,0.37067209775967414,182,491
2019_2020,3.83,1103,"Facultad de CC. Económ. y
Empresariales",Grado en Economía,1,156,Grado en Economía,0.6781259993604093,25446,37524,0.3170731707317073,52,164
2019_2020,3.81,836,"Facultad de CC. Económ. y
Empresariales","Grado en Marketing e Investigación de
Mercados",1,180,Grado en Marketing e Investigación de Mercados,0.8114419147694104,25020,30834,0.34615384615384615,45,130
2019_2020,4.21,1257,"Facultad de Ciencias de la
Educación","Grado en Ciencias de la Actividad Física y del
Deporte",18,154,Grado en Ciencias de la Actividad Física y del Deporte,0.9125805547772484,19542,21414,0.10294117647058824,7,68
2019_2020,4.35,2305,"Facultad de Ciencias de la
Educación",Grado en Educación Infantil,18,194,Grado en Educación Infantil,0.9812732202028316,39090,39836,0.08241758241758242,15,182
2019_2020,4.19,5579,"Facultad de Ciencias de la
Educación",Grado en Educación Primaria,18,195,Grado en Educación Primaria,0.9361361530036229,122221,130559,0.10805860805860806,59,546
2019_2020,4.18,1490,"Facultad de Ciencias de la
Educación",Grado en Pedagogía,18,174,Grado en Pedagogía,0.9296490930666216,32904,35394,0.1,15,150
2019_2020,3.97,1104,Facultad de Ciencias del Trabajo,"Grado en Relaciones Laborales y Recursos
Humanos",8,178,Grado en Relaciones Laborales y Recursos Humanos,0.7413887370147622,40680,54870,0.2318181818181818,51,220
2019_2020,3.98,1590,Facultad de Comunicación,Grado en Comunicación Audiovisual,2,192,Grado en Comunicación Audiovisual,0.9130215343203232,32562,35664,0.10759493670886076,17,158
2019_2020,3.91,2347,Facultad de Comunicación,Grado en Periodismo,2,210,Grado en Periodismo,0.8570823808314283,60738,70866,0.1696113074204947,48,283
2019_2020,4.05,1547,Facultad de Comunicación,Grado en Publicidad y Relaciones Públicas,2,211,Grado en Publicidad y Relaciones Públicas,0.905394631942599,30663,33867,0.10071942446043164,14,139
2019_2020,4.35,512,Facultad de Derecho,Grado en Criminología,20,218,Grado en Criminología,0.9571068124474348,13656,14268,0.06779661016949153,4,59
2019_2020,4.09,2599,Facultad de Derecho,Grado en Derecho,20,155,Grado en Derecho,0.8145335021209497,110028,135081,0.1611785095320624,93,577
2019_2020,4.41,1241,Facultad de Farmacia,Grado en Óptica y Optometría,19,223,Grado en Óptica y Optometría,0.9076539101497504,13092,14424,0.1,6,60
2019_2020,4.35,185,Facultad de Filología,Grado en Estudios Árabes e Islámicos,16,181,Grado en Estudios Árabes e Islámicos,0.7734177215189874,3666,4740,0.4545454545454546,10,22
2019_2020,4.07,560,Facultad de Filología,Grado en Estudios Franceses,16,182,Grado en Estudios Franceses,0.7344841759145089,10722,14598,0.4918032786885246,30,61
2019_2020,3.99,1527,Facultad de Filología,Grado en Estudios Ingleses,16,183,Grado en Estudios Ingleses,0.7997533528595653,31128,38922,0.1839080459770115,32,174
2019_2020,4.11,93,Facultad de Filología,Grado en Filología Clásica,16,184,Grado en Filología Clásica,0.7214137214137214,4164,5772,0.4883720930232558,21,43
2019_2020,4.1,1258,Facultad de Filología,Grado en Filología Hispánica,16,159,Grado en Filología Hispánica,0.7291242362525459,21480,29460,0.3028169014084507,43,142
2019_2020,3.95,276,Facultad de Filología,Grado en Lengua y Literatura Alemanas,16,185,Grado en Lengua y Literatura Alemanas,0.7568013190436933,5508,7278,0.26666666666666666,12,45
2019_2020,4.26,530,Facultad de Filosofía,Grado en Filosofía,12,160,Grado en Filosofía,0.7766837337534462,11832,15234,0.3013698630136986,22,73
2019_2020,4.07,979,Facultad de Física,Grado en Física,6,162,Grado en Física,0.6805555555555556,15582,22896,0.19658119658119655,23,117
2019_2020,4.4,375,Facultad de Física,Grado en Ingeniería de Materiales,6,222,Grado en Ingeniería de Materiales,0.6866666666666666,5253,7650,0.17391304347826086,8,46
2019_2020,4.24,368,Facultad de Geografía e Historia,Grado en Antropología Social y Cultural,4,188,Grado en Antropología Social y Cultural,0.6922707633221316,8652,12498,0.43103448275862066,25,58
2019_2020,4.16,1677,Facultad de Geografía e Historia,Grado en Historia,4,166,Grado en Historia,0.7391304347826086,33150,44850,0.2058823529411765,35,170
2019_2020,4.09,1550,Facultad de Geografía e Historia,Grado en Historia del Arte,4,167,Grado en Historia del Arte,0.7186009538950715,27120,37740,0.358695652173913,66,184
2019_2020,4.02,754,Facultad de Matemáticas,Grado en Matemáticas,17,171,Grado en Matemáticas,0.7228385279098433,24630,34074,0.20945945945945943,31,148
2019_2020,4.08,1347,Facultad de Medicina,Grado en Biomedicina Básica y Experimental,14,217,Grado en Biomedicina Básica y Experimental,0.926428756141712,10747,11601,0.16666666666666666,8,48
2019_2020,4.28,3501,Facultad de Psicología,Grado en Psicología,13,176,Grado en Psicología,0.8914684786711967,56676,63576,0.1412639405204461,38,269
2019_2020,4.15,1695,Facultad de Química,Grado en Química,22,177,Grado en Química,0.7099938687921521,26055,36697,0.38311688311688313,59,154
2019_2020,4.19,1992,Facultad de Turismo y Finanzas,Grado en Finanzas y Contabilidad,7,161,Grado en Finanzas y Contabilidad,0.5617323337055352,42258,75228,0.4731934731934732,203,429
2019_2020,4.27,2339,Facultad de Turismo y Finanzas,Grado en Turismo,7,179,Grado en Turismo,0.720328917313842,47304,65670,0.26936026936026936,80,297
2019_2020,4.29,2704,"Facultad Enfermería, Fisioter. y
Podolog",Grado en Enfermería,11,157,Grado en Enfermería,0.801463811330984,44349,55335,0.2145748987854251,53,247
2019_2020,4.39,1821,"Facultad Enfermería, Fisioter. y
Podolog",Grado en Fisioterapia,11,163,Grado en Fisioterapia,0.905859842143028,18937,20905,0.3391304347826087,39,115
2019_2020,4.29,2704,"Facultad Enfermería, Fisioter. y
Podolog",Grado en Enfermería,11,157,Grado en Enfermería,0.801463811330984,44349,55335,0.2145748987854251,53,247
2020_2021,3.56,107,Escuela Politécnica Superior,Grado en Ingeniería Eléctrica,23,200,Grado en Ingeniería Eléctrica,0.44123192960402263,6318,14319,0.4929577464788733,35,71
2020_2021,3.51,122,Escuela Politécnica Superior,Grado en Ingeniería Electrónica Industrial,23,201,Grado en Ingeniería Electrónica Industrial,0.4271981242672919,10932,25590,0.5925925925925926,64,108
2020_2021,4.11,312,Escuela Politécnica Superior,"Grado en Ingeniería en Diseño Industrial y
Desarrollo del Producto",23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,0.6534508076358296,21360,32688,0.21929824561403508,25,114
2020_2021,3.65,282,Escuela Politécnica Superior,Grado en Ingeniería Mecánica,23,207,Grado en Ingeniería Mecánica,0.5050359712230216,14742,29190,0.39166666666666666,47,120
2020_2021,3.85,220,Escuela Politécnica Superior,Grado en Ingeniería Química Industrial,23,209,Grado en Ingeniería Química Industrial,0.47758761206193967,7032,14724,0.4307692307692308,28,65
2020_2021,4.11,478,E.T.S. de Ingeniería,Grado en Ingeniería Aeroespacial,45,197,Grado en Ingeniería Aeroespacial,0.6593835506196685,24580,37278,0.15503875968992248,20,129
2020_2021,3.65,148,E.T.S. de Ingeniería,Grado en Ingeniería Civil,45,225,Grado en Ingeniería Civil,0.4616365568544102,6516,14115,0.5294117647058824,36,68
2020_2021,4.01,390,E.T.S. de Ingeniería,"Grado en Ingeniería de las Tecnologías de
Telecomunicación",45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,0.5409408746741694,19611,36253,0.246031746031746,31,126
2020_2021,4.05,1.015,E.T.S. de Ingeniería,Grado en Ingeniería de Tecnologías Industriales,45,203,Grado en Ingeniería de Tecnologías Industriales,0.6368344608798685,49984,78489,0.23193916349809887,61,263
2020_2021,3.87,312,E.T.S. de Ingeniería,"Grado en Ingeniería Electrónica, Robótica y
Mecatrónica (UMA-US)",45,228,"Grado en Ingeniería Electrónica, Robótica y Mecatrónica (UMA-US)",0.6850683071023408,12862,18775,0.15384615384615383,10,65
2020_2021,4.23,85,E.T.S. de Ingeniería,Grado en Ingeniería Química,45,208,Grado en Ingeniería Química,0.5165913244205059,8056,15595,0.25,15,60
2020_2021,4.16,668,Facultad de Bellas Artes,Grado en Bellas Artes,21,190,Grado en Bellas Artes,0.8774457758228424,34710,39558,0.17297297297297298,32,185
2020_2021,4.03,445,Facultad de Bellas Artes,"Grado en Conservación y Restauración de Bienes
Culturales",21,193,Grado en Conservación y Restauración de Bienes Culturales,0.8662900188323918,11040,12744,0.3114754098360656,19,61
2020_2021,4.3,819,Facultad de Biología,Grado en Biología,5,153,Grado en Biología,0.7578363698087587,40182,53022,0.19597989949748745,39,199
2020_2021,3.93,839,"Facultad de Ciencias Económicas y
Empresariales",Grado en Administración y Dirección de Empresas,1,151,Grado en Administración y Dirección de Empresas,0.5790202342917998,65244,112680,0.3874239350912778,191,493
2020_2021,3.82,332,"Facultad de Ciencias Económicas y
Empresariales",Grado en Economía,1,156,Grado en Economía,0.6218247407184728,24822,39918,0.391025641025641,61,156
2020_2021,3.8,415,"Facultad de Ciencias Económicas y
Empresariales",Grado en Marketing e Investigación de Mercados,1,180,Grado en Marketing e Investigación de Mercados,0.7586206896551724,23496,30972,0.2366412213740458,31,131
2020_2021,4.12,451,"Facultad de Ciencias de la
Educación","Grado en Ciencias de la Actividad Física y del
Deporte",18,154,Grado en Ciencias de la Actividad Física y del Deporte,0.8751545117428925,21240,24270,0.07894736842105263,6,76
2020_2021,4.13,1.153,"Facultad de Ciencias de la
Educación",Grado en Educación Infantil,18,194,Grado en Educación Infantil,0.9823578554228708,39980,40698,0.02717391304347826,5,184
2020_2021,4.1,3.083,"Facultad de Ciencias de la
Educación",Grado en Educación Primaria,18,195,Grado en Educación Primaria,0.9140592864781858,116665,127634,0.0703125,36,512
2020_2021,4.04,568,"Facultad de Ciencias de la
Educación",Grado en Pedagogía,18,174,Grado en Pedagogía,0.9294178258629572,32472,34938,0.15384615384615383,24,156
2020_2021,4.1,622,Facultad de Ciencias del Trabajo,"Grado en Relaciones Laborales y Recursos
Humanos",8,178,Grado en Relaciones Laborales y Recursos Humanos,0.7000730003128585,40278,57534,0.22321428571428573,50,224
2020_2021,4.09,1.050,Facultad de Comunicación,Grado en Comunicación Audiovisual,2,192,Grado en Comunicación Audiovisual,0.916652256614214,31806,34698,0.12337662337662338,19,154
2020_2021,3.74,1.134,Facultad de Comunicación,Grado en Periodismo,2,210,Grado en Periodismo,0.8073489903804489,55896,69234,0.125,35,280
2020_2021,4.02,612,Facultad de Comunicación,Grado en Publicidad y Relaciones Públicas,2,211,Grado en Publicidad y Relaciones Públicas,0.9016773733047824,30318,33624,0.11188811188811187,16,143
2020_2021,4.3,219,Facultad de Derecho,Grado en Criminología,20,218,Grado en Criminología,0.9513513513513514,13728,14430,0.12903225806451613,8,62
2020_2021,4.11,1.078,Facultad de Derecho,Grado en Derecho,20,155,Grado en Derecho,0.7265823348625896,97875,134706,0.14414414414414414,80,555
2020_2021,4.49,227,Facultad de Farmacia,Grado en Óptica y Optometría,19,223,Grado en Óptica y Optometría,0.9087779690189328,12672,13944,0.1129032258064516,7,62
2020_2021,4.16,86,Facultad de Filología,Grado en Estudios Árabes e Islámicos,16,181,Grado en Estudios Árabes e Islámicos,0.7008426966292135,2994,4272,0.25,6,24
2020_2021,4.2,417,Facultad de Filología,Grado en Estudios Franceses,16,182,Grado en Estudios Franceses,0.676731078904992,10086,14904,0.3661971830985915,26,71
